Title,IMDB Rating,Director,Writer,Actors,Released,Genre
Three Colors: Red,8.1,Krzysztof Kieslowski,"Krzysztof Kieslowski, Krzysztof Piesiewicz, Agnieszka Holland","Irène Jacob, Jean-Louis Trintignant, Frédérique Feder",23 Nov 1994,"Drama, Mystery, Romance"
Selma,7.5,Ava DuVernay,Paul Webb,"David Oyelowo, Carmen Ejogo, Oprah Winfrey",09 Jan 2015,"Biography, Drama, History"
Zootopia,8.0,"Byron Howard, Rich Moore, Jared Bush","Byron Howard, Rich Moore, Jared Bush","Ginnifer Goodwin, Jason Bateman, Idris Elba",04 Mar 2016,"Animation, Action, Adventure"
Citizen Kane,8.3,Orson Welles,"Herman J. Mankiewicz, Orson Welles, John Houseman","Orson Welles, Joseph Cotten, Dorothy Comingore",05 Sep 1941,"Drama, Mystery"
Annie Hall,8.0,Woody Allen,"Woody Allen, Marshall Brickman","Woody Allen, Diane Keaton, Tony Roberts",20 Apr 1977,"Comedy, Romance"
Cool Hand Luke,8.1,Stuart Rosenberg,"Donn Pearce, Frank Pierson, Hal Dresner","Paul Newman, George Kennedy, Strother Martin",01 Nov 1967,"Crime, Drama"
The Holdovers,7.9,Alexander Payne,David Hemingson,"Paul Giamatti, Da'Vine Joy Randolph, Dominic Sessa",10 Nov 2023,"Comedy, Drama"
Inside Out,8.1,"Pete Docter, Ronnie Del Carmen","Pete Docter, Ronnie Del Carmen, Meg LeFauve","Amy Poehler, Bill Hader, Lewis Black",19 Jun 2015,"Animation, Adventure, Comedy"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.3,Stanley Kubrick,"Stanley Kubrick, Terry Southern, Peter George","Peter Sellers, George C. Scott, Sterling Hayden",29 Jan 1964,"Comedy, War"
Let the Right One In,7.8,Tomas Alfredson,John Ajvide Lindqvist,"Kåre Hedebrant, Lina Leandersson, Per Ragnar",12 Dec 2008,"Drama, Fantasy, Horror"
The Lord of the Rings: The Two Towers,8.8,Peter Jackson,"J.R.R. Tolkien, Fran Walsh, Philippa Boyens","Elijah Wood, Ian McKellen, Viggo Mortensen",18 Dec 2002,"Action, Adventure, Drama"
